Model,First flight,Seats,Sector,Fuel burn,Fuel per seat
Airbus A320,1987,150,"2,151 nmi (3,984 km)",2.91 kg/km (10.3 lb/mi),2.43 L/100 km (97 mpg‑US)[83]
Airbus A321LR,2016,154,"3,400 nmi (6,300 km)",2.99 kg/km (10.6 lb/mi),2.43 L/100 km (97 mpg‑US)[84]
Airbus A330-200,1997,241,"3,000 nmi (5,600 km)",6 kg/km (21 lb/mi),3.11 L/100 km (76 mpg‑US)[85]
Airbus A330-300,1992,262,"3,000 nmi (5,600 km)",6.25 kg/km (22.2 lb/mi),2.98 L/100 km (79 mpg‑US)[85]
Airbus A330-900,2016,310,"3,350 nmi (6,200 km)",6 kg/km (21 lb/mi),2.42 L/100 km (97 mpg‑US)[86]
Airbus A340-300,1992,262,"3,000 nmi (5,600 km)",6.81 kg/km (24.2 lb/mi),3.25 L/100 km (72 mpg‑US)[85]
Boeing 737 MAX-8,2017,168,"3,400 nmi (6,300 km)",2.86 kg/km (10.1 lb/mi),2.13 L/100 km (110 mpg‑US)[87]
Boeing 737 MAX-9,2017,144,"3,400 nmi (6,300 km)",2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[84]
Boeing 747-400,1988,416,"2,151 nmi (3,984 km)",10.77 kg/km (38.2 lb/mi),3.24 L/100 km (73 mpg‑US)[83]
Boeing 747-8,2011,467,"3,000 nmi (5,600 km)",9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[88]
Boeing 757-200W,1981,158,"3,400 nmi (6,300 km)",3.79 kg/km (13.4 lb/mi),3.00 L/100 km (78 mpg‑US)[84]
Boeing 767-200ER,1984,181,"3,000 nmi (5,600 km)",4.83 kg/km (17.1 lb/mi),3.34 L/100 km (70 mpg‑US)[89]
Boeing 767-300ER,1988,218,"2,151 nmi (3,984 km)",5.38 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[83]
Boeing 767-400ER,1999,245,"3,000 nmi (5,600 km)",5.78 kg/km (20.5 lb/mi),2.95 L/100 km (80 mpg‑US)[89]
Boeing 777-200,1994,305,"3,000 nmi (5,600 km)",6.83 kg/km (24.2 lb/mi),2.80 L/100 km (84 mpg‑US)[90]
